satellite_id,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,operator,orbit_type,eccentricity_risk
1,EUTELSAT 174A,2005-052A,2026-06-20T08:31:31.160928,1.00272302,0.0006308,4.2287,76.4905,11.1427,122.7677,0,U,28924,999,5236,0,3e-08,0,EUTELSAT,GEO,0.6308
2,EUTELSAT 33F,2006-032A,2026-06-20T07:50:48.886944,1.00272297,0.0003855,1.6709,82.2134,4.8576,332.2502,0,U,29270,999,4733,0,1.51e-06,0,EUTELSAT,GEO,0.3855
3,EUTELSAT HOTBIRD 13C,2008-065A,2026-06-20T09:10:06.278304,1.00269969,0.0003462,2.9595,79.157,9.9025,266.7513,0,U,33459,999,4737,0,-2.88e-06,0,EUTELSAT,GEO,0.3462
4,EUTELSAT 36B,2009-065A,2026-06-20T09:38:56.014080,1.00269534,0.0005548,0.5002,81.1638,5.9114,16.7617,0,U,36101,999,6074,0,1.08e-06,0,EUTELSAT,GEO,0.5548000000000001
5,EUTELSAT KA-SAT 9A,2010-069A,2026-06-20T07:44:19.508928,1.00269176,0.0003782,0.061,12.2628,114.8672,266.4917,0,U,37258,999,4403,0,5.7e-07,0,EUTELSAT,GEO,0.3782
6,EUTELSAT 7 WEST A,2011-051A,2026-06-20T09:22:20.103744,1.00271971,0.0004255,0.0679,22.5916,76.3569,302.9137,0,U,37816,999,5390,0,-6.5e-07,0,EUTELSAT,GEO,0.4255
7,EUTELSAT 16A,2011-057A,2026-06-20T07:46:19.318080,1.00269662,0.0005674,0.0401,347.1884,102.0888,311.8462,0,U,37836,999,736,0,9.9e-07,0,EUTELSAT,GEO,0.5674
8,EUTELSAT 21B,2012-062B,2026-06-20T07:47:56.663232,1.00269086,0.0003048,0.065,351.1649,87.9936,327.9799,0,U,38992,999,4985,0,1.25e-06,0,EUTELSAT,GEO,0.3047999999999999
9,EUTELSAT 70B,2012-069A,2026-06-20T09:44:36.558816,1.00271913,0.0003863,0.068,22.0297,59.0398,44.1885,0,U,39020,999,4954,0,-4.8e-07,0,EUTELSAT,GEO,0.3863
10,EUTELSAT 117 WEST A,2013-012A,2026-06-20T08:46:38.646048,1.00272134,0.0002809,0.0223,39.9608,49.3889,194.0807,0,U,39122,999,4846,0,-1.7e-07,0,EUTELSAT,GEO,0.2809
11,EUTELSAT 7B,2013-022A,2026-06-20T09:26:27.211200,1.00270344,0.0004439,0.0639,358.463,38.25,20.4962,0,U,39163,999,4797,0,4.3e-07,0,EUTELSAT,GEO,0.4439
12,EXPRESS-AT1,2014-010A,2026-06-21T11:22:20.640864,1.00304441,0.0003873,0.27,85.5903,44.0452,13.4417,0,U,39612,999,4486,0,1.8e-07,0,EUTELSAT,GEO,0.3873
13,EXPRESS-AT2,2014-010B,2026-06-20T06:14:49.075008,1.00274646,8.23e-05,0.0175,318.6576,346.7956,112.7065,0,U,39613,999,4452,0,7.3e-07,0,EUTELSAT,GEO,0.0823
14,EUTELSAT 3B,2014-030A,2026-06-20T09:25:19.818336,1.00271871,0.0004071,0.0693,24.2659,62.9003,325.8468,0,U,39773,999,4409,0,1.5e-07,0,EUTELSAT,GEO,0.4070999999999999
15,EUTELSAT 115 WEST B,2015-010B,2026-06-19T22:35:41.436384,1.00276894,4.6e-05,0.0097,152.881,27.2731,312.0421,0,U,40425,999,4142,0,-3.1e-07,0,EUTELSAT,GEO,0.046
16,EUTELSAT 8 WEST B,2015-039B,2026-06-20T09:22:12.617184,1.00271553,0.0003869,0.0624,352.8456,93.5427,314.7707,0,U,40875,999,3968,0,-7e-07,0,EUTELSAT,GEO,0.3869
17,EUTELSAT 9B,2016-005A,2026-06-20T07:44:19.508928,1.00272797,0.0001691,0.0887,76.7287,335.623,341.2375,0,U,41310,999,3814,0,5.7e-07,0,EUTELSAT,GEO,0.1691
18,EUTELSAT 65 WEST A,2016-014A,2026-06-20T09:05:51.684288,1.00273449,0.0002451,0.0503,338.6021,106.2797,254.9608,0,U,41382,999,3755,0,-2.81e-06,0,EUTELSAT,GEO,0.2450999999999999
19,EUTELSAT 117 WEST B,2016-038B,2026-06-20T08:46:38.646048,1.00272242,4.96e-05,0.0119,154.994,333.4232,154.8419,0,U,41589,999,3669,0,-1.6e-07,0,EUTELSAT,GEO,0.0496
