segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len,health_score,anomaly_risk,maintenance_priority
1,1,1,CADC0872,1,279,280,8.533143499999998e-07,3.49428315570552e-10,1.8693001780627744e-05,0.6311173662492302,0.5520522696354365,4,3,2,4,6,1.2711755417075724e-10,2.9606660433502864e-10,279,280,1.2524312386041289e-12,1.2479582698948285e-12,92.9051105788369,7.094889421163103,Low
2,1,1,CADC0872,1,476,477,-3.639396266247381e-06,6.476484614528283e-10,2.544893831681056e-05,-1.2436105409484075,0.4256322649450154,1,1,1,5,8,1.4893834768968185e-12,3.004752494170574e-12,476,477,1.3606060114555216e-12,1.357753587951422e-12,94.20808241387536,5.79191758612464,Low
3,1,1,CADC0872,1,594,595,1.1707879512605042e-05,5.59287714097435e-10,2.364926455722112e-05,-0.2845925576500123,-0.8261874641934153,3,2,2,2,3,4.112280202789317e-12,1.0299180074673246e-11,594,595,9.4156180824484e-13,9.399793514242604e-13,97.27053185898944,2.729468141010557,Low
4,1,1,CADC0872,1,271,272,8.486808235294126e-07,5.46602384661463e-10,2.337952917963625e-05,-0.8870884659002054,-0.1384979514679493,2,2,2,3,6,2.4757597647001087e-11,6.240984572962385e-11,271,272,2.016982969230492e-12,2.009567590667144e-12,95.62635049230404,4.3736495076959585,Low
5,0,0,CADC0872,1,256,257,1.0584846070038911e-05,5.27902278315266e-10,2.2976124092528443e-05,-1.4843933372949996,-0.0601548781724772,1,1,1,78,87,5.547101361564531e-13,7.035422088489087e-13,256,257,2.062118274669008e-12,2.054094468152786e-12,95.70556749944548,4.294432500554521,Low
6,0,1,CADC0872,1,252,253,6.326025494071145e-06,6.643179719118847e-10,2.5774366566646883e-05,-1.3023085613490446,-0.179240113059536,1,1,1,66,84,6.43057523093702e-13,7.268033028148551e-13,252,253,2.636182428221765e-12,2.6257627348295838e-12,95.95100106255333,4.048998937446669,Low
7,0,0,CADC0872,1,379,380,2.9907951973684204e-06,3.8437252690564615e-10,1.960542085510144e-05,-0.736378555471322,-0.0782942495914141,1,1,1,111,127,3.793821108523652e-13,6.80787912571573e-13,379,380,1.0141755327325757e-12,1.0115066497517005e-12,95.379963881837,4.620036118163,Low
8,1,1,CADC0872,1,399,400,1.5204373149999998e-06,1.652298873352987e-10,1.2854177816387116e-05,-0.1114814980954337,0.5987550414758036,3,3,2,1,2,1.989722057280419e-11,5.946671994860804e-11,399,400,4.141099933215506e-13,4.1307471833824674e-13,93.1473704276429,6.8526295723571025,Low
9,1,1,CADC0872,1,513,514,4.173000953307394e-07,1.73340145538637e-10,1.316587048161408e-05,-0.8595242578461675,0.3059972421010178,1,1,1,4,2,1.1309735970453785e-12,2.510246914573329e-12,513,514,3.3789502054315213e-13,3.372376372347024e-13,94.35372106556879,5.6462789344312085,Low
10,0,1,CADC0872,1,316,317,4.411687239747634e-06,6.31100611241738e-10,2.5121715929484952e-05,-1.2167116352009533,-0.1281759287096554,1,1,1,97,104,5.293624016340368e-13,8.428462406968079e-13,316,317,1.997153833043475e-12,1.9908536632231484e-12,95.76322802509883,4.236771974901174,Low
11,0,1,CADC0872,1,229,230,-4.51954224e-06,4.3323061321283644e-10,2.0814192590942283e-05,-1.2642493263381809,-0.2320908424929871,1,1,1,71,84,5.909420092907244e-13,8.931564543910516e-13,229,230,1.8918367389206838e-12,1.883611361794942e-12,96.08167579990881,3.9183242000911918,Low
12,0,0,CADC0872,1,238,239,8.207475334476986e-06,6.720664935050506e-10,2.592424528322957e-05,-1.4771013537511233,-0.0442376143489289,1,1,1,66,76,8.337571557841645e-13,1.0014874344090122e-12,238,239,2.8238087962397084e-12,2.811993696673852e-12,95.65671067478004,4.343289325219956,Low
